Recipe ID,Dish Name,Category,Type,Cuisine,Rating,Prep Time (mins),Nutrients,Taste Profile & Tags,Ingredients,Price (₹),Order Count,Time of Day,Review,Pairing Suggestions,Spice Level,Serving Size,Allergens,Availability,Chef's Special,Calories,Tags,Taste
R11,Margherita Pizza,Pizza,Veg,Italian,4.5,22,420 kcal / 18g protein / 48g carbs / 15g fat,"Cheesy, light; Tags: Veg, Fast Food","Pizza dough, tomato sauce, mozzarella, basil",330,350,Dinner,Absolutely delicious and worth trying again!,"French Fries, Coke",Mild,Large,"Gluten, Dairy",Always,No,420,Healthy,Sweet
R12,Veggie Burger,Burger,Veg,American,4.3,18,400 kcal / 15g protein / 50g carbs / 12g fat,"Savory, hearty; Tags: Veg, Fast Food","Bun, veggie patty, lettuce, tomato, cheese",250,370,Dinner,A staple dish that never disappoints.,"French Fries, Cold Coffee",Mild,Small,Dairy,Always,Yes,400,Street Food,Sweet
R13,Gulab Jamun,Dessert,Veg,Indian,4.9,20,300 kcal / 6g protein / 50g carbs / 10g fat,"Sweet, rich; Tags: Dessert, Vegetarian","Milk solids, sugar, cardamom, rose water",150,720,Dessert,"A customer favorite, full of flavor.",Masala Chai,Mild,Large,Dairy,Seasonal,Yes,300,Quick Bite,Umami
R14,Rasgulla,Dessert,Veg,Indian,4.8,25,280 kcal / 8g protein / 48g carbs / 6g fat,"Sweet, soft; Tags: Dessert, Vegetarian","Chenna, sugar syrup, cardamom",140,700,Dessert,"Comforting and tasty, great with sides.",Rabri,Mild,Large,Dairy,Seasonal,Yes,280,Kids Special,Savory
R15,Tiramisu,Dessert,Veg,Italian,4.8,30,450 kcal / 7g protein / 55g carbs / 18g fat,"Sweet, creamy; Tags: Dessert, Vegetarian","Mascarpone, coffee, cocoa, sugar, ladyfingers",280,260,Snack,"A customer favorite, full of flavor.","Tandoori Roti, Dal Fry",Mild,Small,Dairy,Seasonal,No,450,Traditional,Tangy
R16,Ice Cream Sundae,Dessert,Veg,American,4.7,10,380 kcal / 6g protein / 52g carbs / 14g fat,"Sweet, creamy; Tags: Dessert, Vegetarian","Ice cream, chocolate sauce, nuts, whipped cream",200,500,Dessert,Authentic taste that feels homemade.,Brownie,Mild,Large,"Egg, Dairy",Limited,No,380,Street Food,Umami
R17,French Fries,Starter,Veg,American,4.4,15,300 kcal / 5g protein / 45g carbs / 12g fat,"Crispy, salty; Tags: Vegetarian, Fast Food","Potatoes, salt, oil",120,680,Lunch/Dinner,"Perfectly balanced taste, highly recommended.","Tandoori Roti, Dal Fry",Mild,Large,Dairy,Always,Yes,300,Comfort Food,Savory
R18,Veg Hakka Noodles,Rice & Noodles,Veg,Chinese,4.5,22,350 kcal / 10g protein / 60g carbs / 8g fat,"Savory, tangy; Tags: Veg, Indo-Chinese","Noodles, capsicum, carrot, soy sauce, garlic",220,620,Snack,Authentic taste that feels homemade.,"French Fries, Coke",Mild,Medium,Dairy,Seasonal,Yes,350,Traditional,Spicy
R19,Chicken Hakka Noodles,Rice & Noodles,Non-Veg,Chinese,4.6,25,400 kcal / 18g protein / 58g carbs / 10g fat,"Savory, spicy; Tags: Non-Veg, Indo-Chinese","Noodles, chicken, soy sauce, garlic, veggies",260,580,Snack,"Light, fresh, and very enjoyable.","French Fries, Coke",Mild,Medium,None,Seasonal,Yes,400,Healthy,Savory
R20,Veg Fried Rice,Rice & Noodles,Veg,Chinese,4.4,20,340 kcal / 8g protein / 65g carbs / 6g fat,"Savory, aromatic; Tags: Veg, Indo-Chinese","Rice, mixed veggies, soy sauce, garlic",200,640,Snack,A staple dish that never disappoints.,"French Fries, Coke",Mild,Small,Dairy,Always,No,340,Modern Twist,Sweet
R21,Chicken Fried Rice,Rice & Noodles,Non-Veg,Chinese,4.6,22,400 kcal / 16g protein / 66g carbs / 8g fat,"Savory, hearty; Tags: Non-Veg, Indo-Chinese","Rice, chicken, soy sauce, garlic, egg",240,610,Snack,"Perfectly balanced taste, highly recommended.","Garlic Bread, Soup",Mild,Large,None,Always,Yes,400,Traditional,Sweet
R22,Paneer Tikka,Starter,Veg,Indian,4.7,28,380 kcal / 22g protein / 20g carbs / 16g fat,"Smoky, spicy; Tags: Veg, Traditional","Paneer, yogurt, spices, onion, capsicum",280,640,Dinner,"Comforting and tasty, great with sides.","Mint Chutney, Green Salad",Extra Spicy,Large,Dairy,Always,No,380,Healthy,Umami
R23,Chicken Tikka,Starter,Non-Veg,Indian,4.8,30,420 kcal / 28g protein / 18g carbs / 14g fat,"Smoky, tangy; Tags: Non-Veg, Traditional","Chicken, yogurt, spices, onion, capsicum",320,670,Lunch/Dinner,"Rich flavor profile, always satisfying.","Mint Chutney, Onion Salad",Extra Spicy,Medium,None,Limited,Yes,420,Traditional,Savory
R24,Samosa,Starter,Veg,Indian,4.5,18,280 kcal / 6g protein / 38g carbs / 12g fat,"Crispy, spicy; Tags: Veg, Snack","Potato, peas, spices, flour, oil",100,720,Lunch/Dinner,Absolutely delicious and worth trying again!,"Chutney, Masala Chai",Mild,Large,Dairy,Always,Yes,280,Healthy,Savory
R25,Spring Rolls,Starter,Veg,Chinese,4.2,15,250 kcal / 7g protein / 35g carbs / 8g fat,"Crunchy, savory; Tags: Veg, Indo-Chinese","Flour, cabbage, carrot, soy sauce, garlic",220,280,Lunch/Dinner,"Perfectly balanced taste, highly recommended.","French Fries, Coke",Mild,Large,Dairy,Always,Yes,250,Modern Twist,Tangy
R26,Pasta Alfredo,Continental,Veg,Italian,4.6,25,460 kcal / 15g protein / 55g carbs / 18g fat,"Creamy, cheesy; Tags: Veg, Continental","Pasta, cream, garlic, parmesan",320,400,Snack,Absolutely delicious and worth trying again!,"Garlic Bread, Soup",Mild,Small,"Gluten, Dairy",Seasonal,No,460,Healthy,Sweet
R27,Pasta Arrabbiata,Continental,Veg,Italian,4.5,22,440 kcal / 14g protein / 58g carbs / 16g fat,"Spicy, tangy; Tags: Veg, Continental","Pasta, tomato, chili flakes, garlic, olive oil",300,380,Snack,A staple dish that never disappoints.,"Garlic Bread, Soup",Mild,Medium,"Gluten, Dairy",Seasonal,Yes,440,Comfort Food,Umami
R28,Caesar Salad,Salad,Non-Veg,Continental,4.4,15,320 kcal / 20g protein / 22g carbs / 14g fat,"Fresh, tangy; Tags: Salad, Non-Veg, Healthy","Lettuce, chicken, croutons, parmesan, Caesar dressing",280,260,Lunch/Dinner,"Perfectly balanced taste, highly recommended.","Plain Rice, Green Salad",Mild,Medium,None,Limited,Yes,320,Traditional,Sweet
R29,Greek Salad,Salad,Veg,Mediterranean,4.3,12,280 kcal / 10g protein / 25g carbs / 12g fat,"Fresh, tangy; Tags: Salad, Veg, Healthy","Cucumber, tomato, olives, feta, olive oil",260,250,Lunch/Dinner,"Light, fresh, and very enjoyable.","Plain Rice, Green Salad",Mild,Large,Dairy,Seasonal,No,280,Street Food,Sweet
R30,Shahi Paneer,Vegetarian,Veg,Indian,4.8,32,480 kcal / 22g protein / 38g carbs / 20g fat,"Creamy, royal; Tags: Veg, Traditional","Paneer, cashew paste, cream, tomato, spices",400,600,Dinner,"Great value for the price, must-try dish.","Butter Naan, Jeera Rice",Medium,Medium,Dairy,Limited,Yes,480,Kids Special,Spicy
R32,Mutton Rogan Josh,Non-Veg Main,Non-Veg,Indian,4.8,45,560 kcal / 32g protein / 28g carbs / 26g fat,"Rich, spicy; Tags: Non-Veg, Traditional","Mutton, yogurt, onion, tomato, spices",520,720,Dinner,"Light, fresh, and very enjoyable.","Butter Naan, Steamed Rice",Spicy,Large,None,Always,No,560,Street Food,Tangy
R33,Fish Curry,Non-Veg Main,Non-Veg,Indian,4.6,35,480 kcal / 30g protein / 26g carbs / 20g fat,"Tangy, spicy; Tags: Non-Veg, Coastal","Fish, coconut milk, tamarind, spices",400,610,Dinner,Loved by both kids and adults alike.,"Steamed Rice, Rasam",Spicy,Small,Seafood,Seasonal,Yes,480,Kids Special,Sweet
R34,Dal Tadka,Vegetarian,Veg,Indian,4.7,28,320 kcal / 16g protein / 40g carbs / 8g fat,"Spicy, earthy; Tags: Veg, Traditional, Healthy","Lentils, onion, tomato, garlic, spices",260,680,Snack,Authentic taste that feels homemade.,"Tandoori Roti, Dal Fry",Medium,Small,Dairy,Limited,No,320,Modern Twist,Savory
R35,Rajma Chawal,Vegetarian,Veg,Indian,4.8,35,460 kcal / 18g protein / 78g carbs / 10g fat,"Hearty, spicy; Tags: Veg, Traditional","Kidney beans, rice, onion, tomato, spices",300,720,Snack,"A customer favorite, full of flavor.","Steamed Rice, Papad",Mild,Small,Dairy,Always,Yes,460,Kids Special,Savory
R36,Chole Bhature,Vegetarian,Veg,Indian,4.9,32,520 kcal / 20g protein / 75g carbs / 16g fat,"Spicy, hearty; Tags: Veg, Traditional, Street Food","Chickpeas, flour, yogurt, tomato, spices",280,850,Snack,"A customer favorite, full of flavor.","Plain Rice, Green Salad",Mild,Small,Dairy,Limited,Yes,520,Traditional,Spicy
R37,Pav Bhaji,Vegetarian,Veg,Indian,4.8,30,450 kcal / 12g protein / 65g carbs / 18g fat,"Spicy, buttery; Tags: Veg, Street Food","Vegetables, pav bread, butter, spices",220,780,Snack,A staple dish that never disappoints.,"Tandoori Roti, Dal Fry",Mild,Medium,Dairy,Always,Yes,450,Modern Twist,Tangy
R38,Biryani Veg,Rice & Noodles,Veg,Indian,4.7,40,500 kcal / 14g protein / 85g carbs / 14g fat,"Aromatic, spicy; Tags: Veg, Traditional","Rice, vegetables, yogurt, saffron, spices",320,680,Dinner,"A customer favorite, full of flavor.","Raita, Salad",Medium,Large,Dairy,Limited,Yes,500,Traditional,Sweet
R40,Mutton Biryani,Rice & Noodles,Non-Veg,Indian,4.8,50,620 kcal / 30g protein / 92g carbs / 18g fat,"Rich, spicy; Tags: Non-Veg, Traditional","Rice, mutton, yogurt, saffron, spices",480,790,Dinner,A staple dish that never disappoints.,"Raita, Salad",Medium,Medium,None,Always,No,620,Comfort Food,Sweet
R42,Masala Dosa,Vegetarian,Veg,South Indian,4.8,28,420 kcal / 14g protein / 65g carbs / 12g fat,"Crispy, savory; Tags: Veg, South Indian","Rice, urad dal, potato, onion, spices",180,780,Breakfast,Absolutely delicious and worth trying again!,"Sambar, Coconut Chutney",Spicy,Large,Dairy,Always,No,420,Street Food,Sweet
R43,Idli Sambar,Vegetarian,Veg,South Indian,4.7,25,350 kcal / 12g protein / 62g carbs / 8g fat,"Soft, tangy; Tags: Veg, South Indian, Healthy","Rice, urad dal, sambar, spices",160,700,Breakfast,"Rich flavor profile, always satisfying.","Sambar, Coconut Chutney",Mild,Medium,Dairy,Always,Yes,350,Healthy,Sweet
R44,Vada Sambar,Vegetarian,Veg,South Indian,4.6,26,380 kcal / 14g protein / 50g carbs / 14g fat,"Crispy, tangy; Tags: Veg, South Indian","Urad dal, spices, sambar, oil",170,690,Snack,"Light, fresh, and very enjoyable.","Sambar, Coconut Chutney",Mild,Medium,Dairy,Limited,Yes,380,Street Food,Spicy
R45,Medu Vada,Vegetarian,Veg,South Indian,4.5,20,300 kcal / 10g protein / 40g carbs / 12g fat,"Crispy, savory; Tags: Veg, South Indian","Urad dal, ginger, green chili, oil",150,640,Snack,"Rich flavor profile, always satisfying.","Sambar, Coconut Chutney",Mild,Medium,Dairy,Seasonal,Yes,300,Street Food,Umami
R46,Onion Uttapam,Vegetarian,Veg,South Indian,4.6,22,360 kcal / 12g protein / 55g carbs / 10g fat,"Savory, tangy; Tags: Veg, South Indian","Rice, urad dal, onion, chili, spices",160,650,Snack,"Perfectly balanced taste, highly recommended.","Sambar, Coconut Chutney",Mild,Small,Dairy,Limited,No,360,Street Food,Spicy
R47,Hyderabadi Haleem,Non-Veg Main,Non-Veg,Indian,4.7,50,600 kcal / 32g protein / 72g carbs / 20g fat,"Rich, spicy; Tags: Non-Veg, Traditional, Seasonal","Wheat, lentils, mutton, ghee, spices",500,560,Dinner,A staple dish that never disappoints.,"French Fries, Coke",Mild,Small,None,Seasonal,Yes,600,Comfort Food,Tangy
R48,Egg Curry,Non-Veg Main,Non-Veg,Indian,4.5,28,420 kcal / 22g protein / 30g carbs / 16g fat,"Spicy, hearty; Tags: Non-Veg, Traditional","Eggs, tomato, onion, garlic, spices",280,580,Dinner,"Rich flavor profile, always satisfying.","Garlic Bread, Soup",Spicy,Small,None,Always,No,420,Traditional,Savory
R50,Kadai Paneer,Vegetarian,Veg,Indian,4.8,32,420 kcal / 22g protein / 34g carbs / 16g fat,"Spicy, smoky; Tags: Veg, Traditional","Paneer, capsicum, onion, tomato, spices",360,740,Dinner,"Rich flavor profile, always satisfying.","Tandoori Roti, Jeera Rice",Medium,Medium,Dairy,Limited,Yes,420,Traditional,Tangy
R52,Bhindi Masala,Vegetarian,Veg,Indian,4.6,25,280 kcal / 8g protein / 20g carbs / 12g fat,"Savory, tangy; Tags: Veg, Healthy","Okra, onion, tomato, spices",240,640,Snack,"Comforting and tasty, great with sides.","French Fries, Coke",Spicy,Large,Dairy,Seasonal,No,280,Quick Bite,Savory
R53,Baingan Bharta,Vegetarian,Veg,Indian,4.7,28,300 kcal / 10g protein / 22g carbs / 14g fat,"Smoky, spicy; Tags: Veg, Traditional","Eggplant, tomato, onion, garlic, spices",260,670,Snack,"Great value for the price, must-try dish.","Tandoori Roti, Dal Fry",Mild,Small,Dairy,Limited,Yes,300,Healthy,Sweet
R54,Aloo Gobi,Vegetarian,Veg,Indian,4.6,22,280 kcal / 9g protein / 30g carbs / 10g fat,"Earthy, spicy; Tags: Veg, Traditional","Potato, cauliflower, onion, spices",220,620,Snack,Loved by both kids and adults alike.,"Plain Rice, Green Salad",Mild,Small,Dairy,Limited,Yes,280,Modern Twist,Savory
R55,Jeera Rice,Rice & Noodles,Veg,Indian,4.7,18,310 kcal / 6g protein / 60g carbs / 6g fat,"Aromatic, simple; Tags: Veg, Healthy","Rice, cumin, ghee, spices",180,700,Snack,A staple dish that never disappoints.,"Tandoori Roti, Dal Fry",Mild,Small,Dairy,Limited,Yes,310,Quick Bite,Spicy
R56,Tandoori Chicken,Non-Veg Main,Non-Veg,Indian,4.9,38,520 kcal / 34g protein / 18g carbs / 26g fat,"Smoky, spicy; Tags: Non-Veg, Tandoor","Chicken, yogurt, lemon, spices",460,840,Dinner,Absolutely delicious and worth trying again!,"Mint Chutney, Butter Naan",Mild,Small,None,Always,No,520,Street Food,Umami
R57,Chicken Tikka Masala,Non-Veg Main,Non-Veg,Indian,4.8,36,540 kcal / 30g protein / 34g carbs / 22g fat,"Creamy, spicy; Tags: Non-Veg, Mughlai","Chicken, cream, tomato, onion, spices",480,790,Dinner,Absolutely delicious and worth trying again!,"Mint Chutney, Onion Salad",Extra Spicy,Large,None,Seasonal,Yes,540,Comfort Food,Spicy
R59,Veg Pulao,Rice & Noodles,Veg,Indian,4.6,24,380 kcal / 10g protein / 68g carbs / 8g fat,"Aromatic, light; Tags: Veg, Healthy","Rice, vegetables, ghee, spices",240,680,Snack,Absolutely delicious and worth trying again!,"French Fries, Coke",Mild,Large,Dairy,Limited,No,380,Kids Special,Tangy
R60,Egg Biryani,Rice & Noodles,Non-Veg,Indian,4.6,34,480 kcal / 20g protein / 82g carbs / 12g fat,"Spicy, aromatic; Tags: Non-Veg","Rice, eggs, yogurt, saffron, spices",340,660,Dinner,Loved by both kids and adults alike.,"Raita, Salad",Medium,Medium,None,Limited,Yes,480,Healthy,Spicy
R61,Vegetable Korma,Vegetarian,Veg,Indian,4.6,32,390 kcal / 14g protein / 42g carbs / 14g fat,"Creamy, mild; Tags: Veg, Traditional","Mixed vegetables, cream, cashews, spices",320,640,Snack,"Light, fresh, and very enjoyable.","Plain Rice, Green Salad",Mild,Medium,"Nuts, Dairy",Always,No,390,Quick Bite,Spicy
R62,Dal Makhani,Vegetarian,Veg,Indian,4.9,40,480 kcal / 20g protein / 50g carbs / 18g fat,"Creamy, rich; Tags: Veg, Punjabi","Black lentils, cream, butter, tomato, spices",340,820,Snack,"Rich flavor profile, always satisfying.","Tandoori Roti, Jeera Rice",Medium,Large,Dairy,Limited,Yes,480,Healthy,Sweet
R63,Prawn Masala,Non-Veg Main,Non-Veg,Indian,4.7,34,420 kcal / 28g protein / 26g carbs / 14g fat,"Spicy, tangy; Tags: Non-Veg, Coastal","Prawns, onion, tomato, garlic, spices",460,710,Dinner,Loved by both kids and adults alike.,"Tandoori Roti, Dal Fry",Spicy,Small,Seafood,Seasonal,Yes,420,Comfort Food,Savory
R64,Crab Curry,Non-Veg Main,Non-Veg,Indian,4.6,42,520 kcal / 34g protein / 30g carbs / 20g fat,"Spicy, coastal; Tags: Non-Veg, Seafood","Crab, coconut milk, onion, tomato, spices",520,640,Dinner,A staple dish that never disappoints.,"Garlic Bread, Soup",Spicy,Large,None,Always,No,520,Quick Bite,Savory
R67,Veg Manchurian,Starter,Veg,Indo-Chinese,4.7,22,380 kcal / 14g protein / 42g carbs / 14g fat,"Savory, tangy; Tags: Veg, Street Food","Vegetables, soy sauce, chili, spices",240,740,Lunch/Dinner,"Comforting and tasty, great with sides.","Plain Rice, Green Salad",Mild,Small,Dairy,Limited,Yes,380,Traditional,Umami
R68,Chicken Manchurian,Starter,Non-Veg,Indo-Chinese,4.7,24,420 kcal / 22g protein / 36g carbs / 16g fat,"Savory, spicy; Tags: Non-Veg, Street Food","Chicken, soy sauce, chili, garlic, spices",280,780,Lunch/Dinner,Absolutely delicious and worth trying again!,"Tandoori Roti, Dal Fry",Mild,Large,None,Seasonal,Yes,420,Street Food,Tangy
R71,Veg Spring Rolls,Starter,Veg,Indo-Chinese,4.6,18,320 kcal / 8g protein / 44g carbs / 12g fat,"Crispy, savory; Tags: Veg, Appetizer","Spring roll sheets, vegetables, soy sauce, oil",220,700,Lunch/Dinner,Absolutely delicious and worth trying again!,"Tandoori Roti, Dal Fry",Mild,Small,Dairy,Always,Yes,320,Street Food,Umami
R72,Chicken Spring Rolls,Starter,Non-Veg,Indo-Chinese,4.7,20,360 kcal / 18g protein / 40g carbs / 14g fat,"Crispy, savory; Tags: Non-Veg, Appetizer","Spring roll sheets, chicken, vegetables, soy sauce, oil",260,740,Lunch/Dinner,"Great value for the price, must-try dish.","Tandoori Roti, Dal Fry",Mild,Medium,None,Always,Yes,360,Kids Special,Sweet
R73,Chili Paneer,Starter,Veg,Indo-Chinese,4.8,22,400 kcal / 16g protein / 38g carbs / 16g fat,"Spicy, tangy; Tags: Veg, Street Food","Paneer, chili, capsicum, soy sauce, spices",280,780,Dinner,Absolutely delicious and worth trying again!,"Garlic Bread, Soup",Extra Spicy,Large,Dairy,Seasonal,No,400,Traditional,Tangy
R74,Chili Chicken,Starter,Non-Veg,Indo-Chinese,4.9,24,460 kcal / 28g protein / 34g carbs / 18g fat,"Spicy, tangy; Tags: Non-Veg, Street Food","Chicken, chili, capsicum, soy sauce, spices",340,820,Lunch/Dinner,A staple dish that never disappoints.,"Plain Rice, Green Salad",Extra Spicy,Medium,None,Limited,Yes,460,Quick Bite,Tangy
R75,Schezwan Fried Rice,Rice & Noodles,Veg,Indo-Chinese,4.7,22,380 kcal / 12g protein / 64g carbs / 8g fat,"Spicy, savory; Tags: Veg, Quick","Rice, vegetables, schezwan sauce, spices",220,760,Snack,"Perfectly balanced taste, highly recommended.","Plain Rice, Green Salad",Mild,Medium,Dairy,Always,Yes,380,Modern Twist,Savory
R76,Schezwan Chicken Fried Rice,Rice & Noodles,Non-Veg,Indo-Chinese,4.8,24,420 kcal / 22g protein / 66g carbs / 10g fat,"Spicy, savory; Tags: Non-Veg, Quick","Rice, chicken, schezwan sauce, vegetables",280,800,Snack,"Perfectly balanced taste, highly recommended.","Plain Rice, Green Salad",Mild,Medium,None,Limited,No,420,Street Food,Tangy
R77,Veg Schezwan Noodles,Rice & Noodles,Veg,Indo-Chinese,4.6,22,370 kcal / 12g protein / 62g carbs / 8g fat,"Spicy, savory; Tags: Veg, Street Food","Noodles, schezwan sauce, vegetables",240,740,Snack,"A customer favorite, full of flavor.","Plain Rice, Green Salad",Mild,Large,Dairy,Always,No,370,Traditional,Spicy
R78,Chicken Schezwan Noodles,Rice & Noodles,Non-Veg,Indo-Chinese,4.7,24,410 kcal / 22g protein / 66g carbs / 10g fat,"Spicy, savory; Tags: Non-Veg, Street Food","Noodles, chicken, schezwan sauce, vegetables",280,780,Snack,"Light, fresh, and very enjoyable.","Garlic Bread, Soup",Mild,Small,None,Seasonal,No,410,Kids Special,Sweet
R79,Hot & Sour Soup (Veg),Starter,Veg,Chinese,4.6,18,180 kcal / 8g protein / 22g carbs / 6g fat,"Spicy, tangy; Tags: Veg, Soup","Mushroom, carrot, tofu, soy sauce, vinegar",160,660,Lunch/Dinner,Absolutely delicious and worth trying again!,"Plain Rice, Green Salad",Mild,Small,Dairy,Seasonal,No,180,Comfort Food,Spicy
R80,Hot & Sour Soup (Chicken),Starter,Non-Veg,Chinese,4.7,20,200 kcal / 14g protein / 18g carbs / 6g fat,"Spicy, tangy; Tags: Non-Veg, Soup","Chicken, mushroom, carrot, soy sauce, vinegar",200,700,Lunch/Dinner,"Light, fresh, and very enjoyable.","French Fries, Coke",Mild,Large,None,Limited,Yes,200,Kids Special,Spicy
R81,Sweet Corn Soup (Veg),Starter,Veg,Chinese,4.6,16,150 kcal / 6g protein / 26g carbs / 4g fat,"Sweet, light; Tags: Veg, Soup","Corn, carrot, beans, soy sauce, spices",140,640,Lunch/Dinner,Authentic taste that feels homemade.,"Tandoori Roti, Dal Fry",Mild,Medium,Dairy,Seasonal,No,150,Street Food,Umami
R82,Sweet Corn Soup (Chicken),Starter,Non-Veg,Chinese,4.7,18,180 kcal / 12g protein / 22g carbs / 4g fat,"Sweet, light; Tags: Non-Veg, Soup","Corn, chicken, carrot, soy sauce, spices",180,680,Lunch/Dinner,"Great value for the price, must-try dish.","Garlic Bread, Soup",Mild,Small,None,Seasonal,No,180,Street Food,Sweet
R83,Veg Clear Soup,Starter,Veg,Chinese,4.5,14,120 kcal / 5g protein / 20g carbs / 2g fat,"Light, healthy; Tags: Veg, Soup, Healthy","Carrot, beans, cabbage, pepper",120,600,Lunch/Dinner,Absolutely delicious and worth trying again!,"French Fries, Coke",Mild,Medium,Dairy,Seasonal,Yes,120,Traditional,Sweet
R84,Chicken Clear Soup,Starter,Non-Veg,Chinese,4.6,16,150 kcal / 12g protein / 14g carbs / 3g fat,"Light, healthy; Tags: Non-Veg, Soup, Healthy","Chicken, carrot, beans, pepper",160,640,Lunch/Dinner,"Great value for the price, must-try dish.","French Fries, Coke",Mild,Medium,None,Always,No,150,Comfort Food,Spicy
R85,Veg Momos,Starter,Veg,Tibetan/Chinese,4.7,20,300 kcal / 10g protein / 44g carbs / 8g fat,"Soft, savory; Tags: Veg, Street Food","Flour, cabbage, carrot, onion, spices",180,780,Lunch/Dinner,"A customer favorite, full of flavor.","French Fries, Coke",Mild,Small,Dairy,Limited,No,300,Modern Twist,Sweet
R86,Chicken Momos,Starter,Non-Veg,Tibetan/Chinese,4.8,22,340 kcal / 16g protein / 40g carbs / 10g fat,"Soft, savory; Tags: Non-Veg, Street Food","Flour, chicken, onion, garlic, spices",220,820,Lunch/Dinner,"Light, fresh, and very enjoyable.","Garlic Bread, Soup",Mild,Medium,None,Limited,No,340,Modern Twist,Spicy
R87,Paneer Momos,Starter,Veg,Tibetan/Chinese,4.7,22,320 kcal / 12g protein / 42g carbs / 9g fat,"Soft, savory; Tags: Veg, Street Food","Flour, paneer, onion, garlic, spices",200,740,Dinner,Loved by both kids and adults alike.,"French Fries, Coke",Medium,Small,Dairy,Limited,Yes,320,Comfort Food,Savory
R88,Fried Momos (Veg),Starter,Veg,Tibetan/Chinese,4.6,24,360 kcal / 10g protein / 46g carbs / 12g fat,"Crispy, savory; Tags: Veg, Street Food","Flour, cabbage, carrot, onion, spices",200,700,Lunch/Dinner,"Comforting and tasty, great with sides.","Plain Rice, Green Salad",Mild,Small,Dairy,Limited,No,360,Street Food,Savory
